date,macd,ma5,roc,rsi,clicks,decision
1494745200,-1.10897435897,19.2,4.25,387.5,21,-1.0
1494748800,-0.00641025641026,18.6,5.0,516.666666667,12,-1.0
1494752400,0.884615384615,17.4,1.16666666667,355.555555556,13,1.0
1494756000,1.63461538462,15.8,0.428571428571,400.0,10,-1.0
1494759600,1.41025641026,13.0,-0.357142857143,933.333333333,9,-1.0
1494763200,1.26282051282,11.6,-0.263157894737,457.142857143,14,1.0
1494766800,1.51282051282,13.0,0.1875,600.0,19,1.0
1494770400,1.44230769231,14.8,0.047619047619,933.333333333,22,1.0
1494774000,1.91666666667,17.4,0.533333333333,414.285714286,23,1.0
1494777600,2.10897435897,19.4,0.0,-1200.0,19,-1.0
1494781200,1.69230769231,18.0,-0.611111111111,-300.0,7,-1.0
1494784800,1.03846153846,16.4,-0.521739130435,-300.0,11,1.0
1494788400,-0.0320512820513,12.8,-0.809523809524,-171.428571429,4,-1.0
1494792000,-0.621794871795,9.0,-0.666666666667,-100.0,4,0.0
1494795600,-1.32692307692,6.2,-0.615384615385,-125.0,5,1.0
1494799200,-1.1858974359,8.8,1.0,437.5,20,1.0
1494802800,-1.21153846154,8.8,0.222222222222,-1700.0,11,-1.0
